millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
97536958,24.01,37.35,202.00,26.52,31.80
97567006,24.02,37.27,202.00,26.52,31.79
97597053,24.03,37.78,204.00,26.54,31.99
97627104,24.02,37.70,204.00,26.54,32.00
97657152,24.05,37.72,205.00,26.54,32.06
97687200,24.07,37.64,208.00,26.57,32.05
97717248,24.06,38.15,213.00,26.54,32.23
97747296,24.05,37.87,216.00,26.55,32.18
97777343,24.05,37.96,220.00,26.55,32.18
97807391,24.03,38.14,221.00,26.55,32.34
97837438,24.07,37.86,221.00,26.58,32.18
97867490,24.06,37.93,222.00,26.59,32.24
97897537,24.09,37.88,221.00,26.58,32.16
97927585,24.05,38.03,221.00,26.58,32.25
97957633,24.05,38.05,223.00,26.59,32.27
97987681,24.07,38.10,223.00,26.58,32.30
98017729,24.06,37.88,224.00,26.61,32.22
98047776,24.08,37.89,225.00,26.61,32.27
98077825,24.06,37.82,224.00,26.59,32.14
98107872,24.05,37.76,224.00,26.61,32.20
98137920,24.04,38.09,225.00,26.61,32.42
98167967,24.01,38.72,226.00,26.58,32.67
98198016,23.99,38.75,226.00,26.62,32.66
98228066,23.97,38.49,226.00,26.62,32.78
98258114,23.97,38.84,227.00,26.61,32.71
98288161,23.95,39.45,226.00,26.59,32.77
98318210,23.96,38.28,225.00,26.61,32.55
98348257,24.00,38.05,225.00,26.62,32.34
98378305,24.02,38.04,223.00,26.64,32.26
98408352,24.02,38.29,223.00,26.61,32.38
98438403,24.03,38.27,222.00,26.62,32.47
98468450,24.09,37.80,222.00,26.61,32.20
98498498,24.09,37.91,220.00,26.61,32.22
98528546,24.08,37.89,219.00,26.61,32.22
98558595,24.08,37.93,219.00,26.64,32.26
98588643,24.08,37.84,217.00,26.62,32.21
98618692,24.07,37.88,214.00,26.62,32.21
98648740,24.04,37.88,213.00,26.59,32.21
98678789,24.07,37.76,212.00,26.61,32.10
98708837,24.05,37.86,211.00,26.62,32.19
98738884,24.08,37.84,210.00,26.62,32.13
98768932,24.07,38.00,210.00,26.62,32.24
